episode,step,action,reward,ep_return_so_far,time_left,x,y,n_revealed,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,obs_51,obs_52,obs_53,obs_54,obs_55,obs_56,obs_57,obs_58,obs_59,obs_60,obs_61,obs_62,obs_63,obs_64,obs_65,obs_66,obs_67,obs_68,obs_69,obs_70,obs_71,obs_72,obs_73,obs_74,obs_75,obs_76,obs_77,obs_78,obs_79,obs_80,obs_81,obs_82,obs_83,obs_84,obs_85,obs_86,obs_87,obs_88,obs_89,obs_90,obs_91,obs_92,obs_93,obs_94,obs_95,obs_96,obs_97,obs_98,obs_99,obs_100,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,g_9,g_10,g_11
0,0,1,0.0,0.0,499,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9955518245697021,0.986890971660614,-0.7159025073051453,-0.894104540348053,-0.27909260988235474,-0.930712878704071,0.2463255524635315,0.5550335049629211,0.966492772102356,0.9878693222999573,0.9962857961654663,0.9978379011154175,0.6818951368331909,-0.9936920404434204,0.8834313154220581,-0.59900963306427,-1.035305380821228,-0.6439716815948486,-0.7990725040435791,-0.46101388335227966,0.9054117202758789,1.3168365955352783,-0.015583452768623829,-2.0874216556549072,-0.1158517599105835,0.7225222587585449,0.30998939275741577,-1.3272451162338257,1.3112719058990479,0.6549520492553711,1.4700074195861816,-0.20552584528923035,-0.0024252973962575197,0.00980121549218893,-0.00975133292376995,-0.03585082292556763,-0.06814058125019073,0.05137268826365471,0.036110326647758484,-0.0008643994224257767,0.04490062594413757,0.0773710086941719,-0.04163935407996178,-0.0566350519657135
0,1,1,0.0,0.0,498,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9980000257492065,-0.9962125420570374,0.9805281758308411,-0.7055438756942749,-0.8991554379463196,-0.22658009827136993,-0.951440155506134,0.062477122992277145,0.4425565302371979,0.968335747718811,0.9891713857650757,0.9959411025047302,0.997814953327179,0.6660053133964539,-0.9933251738548279,0.8325868248939514,-0.546474277973175,-1.0448511838912964,-0.5695103406906128,-0.8452752828598022,-0.42129161953926086,0.9167131185531616,1.255561113357544,-0.059281256049871445,-2.1464667320251465,-0.19120126962661743,0.8223589062690735,0.24786509573459625,-1.2368228435516357,1.2946686744689941,0.6150133013725281,1.5092746019363403,-0.1467539519071579,-0.004559695720672607,0.01863257586956024,-0.018309134989976883,-0.0680084079504013,-0.13009533286094666,0.09767194092273712,0.06894877552986145,-0.001255977083928883,0.08553206920623779,0.14587907493114471,-0.07839080691337585,-0.10869383811950684
0,2,1,0.0,0.0,497,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9959999918937683,-0.9947485327720642,0.9864322543144226,-0.6683129668235779,-0.9502629041671753,0.04466192051768303,-0.8861015439033508,0.35758939385414124,0.4030202031135559,0.9440801739692688,0.993441104888916,0.997384250164032,0.997046947479248,0.6198999285697937,-0.9947819113731384,0.8990496397018433,-0.5755782127380371,-1.0215609073638916,-0.6847518086433411,-0.7637029886245728,-0.41756436228752136,0.8632131218910217,1.294386863708496,-0.08059124648571014,-2.1345880031585693,-0.07932060956954956,0.8051355481147766,0.34340107440948486,-1.3412646055221558,1.2158218622207642,0.5173918604850769,1.5548663139343262,-0.07087217271327972,-0.0075198812410235405,0.02670833095908165,-0.0262451134622097,-0.09584534168243408,-0.18590602278709412,0.1407729834318161,0.09948445856571198,-0.0010049757547676563,0.12237891554832458,0.20536679029464722,-0.11168117821216583,-0.15560483932495117
0,3,1,0.0,0.0,496,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9940000176429749,-0.9947441220283508,0.986434280872345,-0.6682873368263245,-0.9502962827682495,0.045215778052806854,-0.8860024213790894,0.3578014671802521,0.4028891324996948,0.9440568685531616,0.9934455156326294,0.9973847270011902,0.9970439076423645,0.619845449924469,-0.994784951210022,0.8990866541862488,-0.5756330490112305,-1.0570720434188843,-0.6724483966827393,-0.7402111887931824,-0.4109925329685211,0.8546656370162964,1.2759273052215576,-0.0775499939918518,-2.145439386367798,-0.10689246654510498,0.8387460708618164,0.3553173840045929,-1.3208690881729126,1.1999462842941284,0.4962563216686249,1.5698140859603882,-0.059197891503572464,-0.01033396739512682,0.034007586538791656,-0.03337820991873741,-0.12056685984134674,-0.23582106828689575,0.17962151765823364,0.12733642756938934,-0.0010595942148938775,0.15569821000099182,0.25847381353378296,-0.14184918999671936,-0.19778242707252502
0,4,1,0.0,0.0,495,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9919999837875366,-0.9947396516799927,0.9864362478256226,-0.6682615280151367,-0.9503296613693237,0.04576975852251053,-0.8859032392501831,0.3580130636692047,0.40275800228118896,0.9440335631370544,0.9934499859809875,0.9973852038383484,0.9970409274101257,0.6197909712791443,-0.9947879910469055,0.8991235494613647,-0.5756878852844238,-1.0885560512542725,-0.6614549160003662,-0.7189553380012512,-0.40492120385169983,0.846757173538208,1.2586860656738281,-0.07474364340305328,-2.154480457305908,-0.13141144812107086,0.8685843348503113,0.36579954624176025,-1.3022643327713013,1.1854825019836426,0.4771009385585785,1.5826839208602905,-0.0483081229031086,-0.013006366789340973,0.04060355946421623,-0.039797648787498474,-0.14251834154129028,-0.28045403957366943,0.21463975310325623,0.1527174413204193,-0.0013665462611243129,0.1858452558517456,0.30589067935943604,-0.16918815672397614,-0.23568670451641083
0,5,1,0.0,0.0,494,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9900000095367432,-0.9947351813316345,0.9864382743835449,-0.6682359576225281,-0.9503629803657532,0.04632379859685898,-0.8858039975166321,0.35822486877441406,0.4026268422603607,0.9440102577209473,0.9934543967247009,0.9973856806755066,0.9970378875732422,0.6197366118431091,-0.9947909712791443,0.8991604447364807,-0.5757427215576172,-1.116471529006958,-0.6516332626342773,-0.699752151966095,-0.399332731962204,0.8394647240638733,1.2426977157592773,-0.07216163724660873,-2.1620373725891113,-0.1531987339258194,0.8950567245483398,0.37503182888031006,-1.285351276397705,1.1723359823226929,0.45977771282196045,1.5937883853912354,-0.03821412846446037,-0.01554211974143982,0.046564746648073196,-0.04558178037405014,-0.16200697422027588,-0.32035720348358154,0.24620676040649414,0.1758263260126114,-0.0018797882366925478,0.2131359577178955,0.34823480248451233,-0.19396334886550903,-0.26973551511764526
0,6,1,0.0,0.0,493,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9879999756813049,-0.9947306513786316,0.9864403009414673,-0.6682102084159851,-0.9503962993621826,0.046877823770046234,-0.8857045769691467,0.35843661427497864,0.40249571204185486,0.9439869523048401,0.9934588074684143,0.99738609790802,0.9970348477363586,0.6196820735931396,-0.9947940111160278,0.8991973400115967,-0.5757975578308105,-1.1412320137023926,-0.6428591012954712,-0.6824262738227844,-0.3942040503025055,0.8327575922012329,1.2279566526412964,-0.06979275494813919,-2.1683766841888428,-0.1725505143404007,0.9185346961021423,0.38317587971687317,-1.2700185775756836,1.160408616065979,0.44413819909095764,1.6033934354782104,-0.028905004262924194,-0.017946630716323853,0.051954545080661774,-0.050799526274204254,-0.17930594086647034,-0.35602688789367676,0.2746633291244507,0.19684866070747375,-0.0025596730411052704,0.23785194754600525,0.3860572576522827,-0.2164149284362793,-0.30030807852745056
0,7,1,0.0,0.0,492,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9860000014305115,-0.9947261810302734,0.9864422678947449,-0.6681843996047974,-0.9504295587539673,0.047431882470846176,-0.8856050968170166,0.35864824056625366,0.40236449241638184,0.9439635872840881,0.9934632778167725,0.9973865747451782,0.9970318078994751,0.6196275949478149,-0.9947970509529114,0.8992342352867126,-0.5758524537086487,-1.1632033586502075,-0.635019063949585,-0.6668118238449097,-0.3895076811313629,0.8266028165817261,1.2144267559051514,-0.06762392818927765,-2.173717737197876,-0.18973518908023834,0.9393539428710938,0.39036938548088074,-1.2561488151550293,1.1496069431304932,0.43003907799720764,1.6117225885391235,-0.02035440504550934,-0.020225461572408676,0.05683104693889618,-0.055511608719825745,-0.19465801119804382,-0.38790857791900635,0.3003160357475281,0.21595735847949982,-0.0033721181098371744,0.26024484634399414,0.4198492467403412,-0.23676034808158875,-0.3277481496334076
0,8,1,0.0,0.0,491,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.984000027179718,-0.9947217106819153,0.9864442944526672,-0.6681588292121887,-0.9504628777503967,0.047985952347517014,-0.8855055570602417,0.3588598072528839,0.4022331237792969,0.9439402222633362,0.9934676885604858,0.9973870515823364,0.9970287680625916,0.619573175907135,-0.9948000311851501,0.8992710709571838,-0.5759072303771973,-1.1827095746994019,-0.6280122995376587,-0.6527519226074219,-0.3852141499519348,0.8209636211395264,1.2020548582077026,-0.0656421035528183,-2.1782355308532715,-0.20499396324157715,0.9578149318695068,0.39673206210136414,-1.2436243295669556,1.1398364305496216,0.4173418879508972,1.6189661026000977,-0.0125254075974226,-0.022384202107787132,0.061247099190950394,-0.059771619737148285,-0.20827902853488922,-0.41640177369117737,0.3234409987926483,0.23331327736377716,-0.004287929739803076,0.28054001927375793,0.45004838705062866,-0.2551966607570648,-0.3523671627044678
0,9,1,0.0,0.0,490,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9819999933242798,-0.9947171807289124,0.9864463210105896,-0.6681331396102905,-0.9504960775375366,0.04853999614715576,-0.8854058980941772,0.3590715527534485,0.40210190415382385,0.9439168572425842,0.9934720993041992,0.9973874688148499,0.997025728225708,0.6195187568664551,-0.9948030710220337,0.8993078470230103,-0.5759621262550354,-1.200037956237793,-0.6217483282089233,-0.6401021480560303,-0.38129520416259766,0.8158032298088074,1.1907765865325928,-0.06383468955755234,-2.1820757389068604,-0.21854309737682343,0.9741856455802917,0.4023672342300415,-1.2323311567306519,1.131009578704834,0.40591681003570557,1.6252845525741577,-0.0053758383728563786,-0.024428369477391243,0.0652504488825798,-0.06362693011760712,-0.22036080062389374,-0.4418644905090332,0.34428703784942627,0.2490658313035965,-0.0052821883000433445,0.29893958568573,0.4770440459251404,-0.2719024419784546,-0.3744470775127411
