t,x,y,zone_id,action,perturbed,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,g_9,g_10,g_11
1,6,4,1,2,0,-0.05559945106506348,-0.0712180957198143,-0.03637392073869705,0.15805208683013916,0.46203240752220154,0.14962559938430786,0.00048217177391052246,0.05496443808078766,-0.0988265872001648,1.011283278465271,-1.73387610912323,0.2929304838180542,-0.5942478179931641,0.1523841768503189,0.6173174381256104,1.7849304676055908,0.3220096826553345,-1.0654473304748535,1.173308253288269,-0.6268558502197266,-1.6326361894607544,1.109195351600647,0.26164737343788147,-0.9731167554855347,-0.13566993176937103,0.021853651851415634,0.0038970173336565495,0.07514289766550064,-0.07668052613735199,0.11383117735385895,0.008054125122725964,-0.08760370314121246,0.004266883246600628,0.17229723930358887,0.00968371331691742,-0.07488781958818436
2,5,4,1,2,0,-0.08820074796676636,0.031456246972084045,-0.08316610008478165,0.5515956878662109,0.434872031211853,-0.323779821395874,-0.3988514542579651,-0.8229634761810303,-1.0061848163604736,-0.5740426182746887,-1.8200023174285889,1.2587932348251343,-1.2174798250198364,0.5278631448745728,0.16987614333629608,1.2370461225509644,1.1870206594467163,0.9547308087348938,0.98725825548172,-0.6221950650215149,-0.41275152564048767,0.9749325513839722,-0.45392969250679016,-1.1909353733062744,-0.25646302103996277,0.021562224254012108,-0.00641284417361021,0.07485076040029526,-0.08254005759954453,0.1773759424686432,-0.023006092756986618,-0.20900174975395203,0.1323768049478531,0.29349464178085327,0.060433268547058105,-0.13066628575325012
3,4,4,0,2,0,0.201388418674469,-0.31853431463241577,0.164668470621109,0.22978684306144714,0.38106876611709595,-0.10028018802404404,0.5357950925827026,-0.16149167716503143,-0.061505839228630066,0.9839401841163635,-1.7735934257507324,0.9132383465766907,-0.7287266254425049,0.17615459859371185,0.34889209270477295,1.7990370988845825,0.2825998067855835,-0.4024679958820343,1.1294152736663818,-0.9426703453063965,-1.619994044303894,1.002533197402954,-0.07052277773618698,-1.0363293886184692,-0.3712681233882904,0.03987222537398338,-0.003934396430850029,0.13000208139419556,-0.1248902678489685,0.2664024233818054,-0.021347651258111,-0.3013033866882324,0.15931633114814758,0.4255833029747009,0.07697233557701111,-0.19996660947799683
4,3,4,0,2,0,-0.21650587022304535,-0.18907864391803741,-0.6624819040298462,0.39999622106552124,0.4557454288005829,-0.016191504895687103,-0.4882615804672241,0.1341342031955719,-0.4820299744606018,0.10702664405107498,-1.6794099807739258,0.4617498219013214,-0.9148160219192505,0.504609227180481,0.5312181711196899,1.5660545825958252,1.0214837789535522,0.015698323026299477,1.2122035026550293,-1.1159682273864746,-1.2813208103179932,1.3400822877883911,0.011779651045799255,-1.298360824584961,-0.4774186611175537,0.04972425475716591,-0.006541071459650993,0.1579749584197998,-0.16124871373176575,0.341660737991333,-0.018762530758976936,-0.38528603315353394,0.21661269664764404,0.54090416431427,0.09674258530139923,-0.25909316539764404
5,3,5,0,2,0,-0.5771634578704834,-0.07655596733093262,-0.008563719689846039,0.3428592085838318,0.17421293258666992,-0.02205812931060791,-0.011663466691970825,-0.3416500687599182,-0.5323353409767151,0.346311092376709,-1.6491835117340088,1.2572765350341797,-0.6548728346824646,0.16236327588558197,0.8446019291877747,1.4176827669143677,0.5207118988037109,0.14058750867843628,0.8547021746635437,-1.53426992893219,-1.6071778535842896,1.1652071475982666,0.14427827298641205,-0.8758828043937683,-0.5651565194129944,0.06577405333518982,-0.012738988734781742,0.19621501863002777,-0.19437138736248016,0.4156935513019562,-0.016571946442127228,-0.46358010172843933,0.2553151845932007,0.6384056210517883,0.11384211480617523,-0.3195001780986786
6,2,5,0,2,0,-0.2655084431171417,0.12421344965696335,-0.2800934910774231,0.3924572467803955,0.09657470881938934,-0.4074537754058838,0.2535473704338074,0.06215924769639969,-0.4868136942386627,0.4285022020339966,-1.6377694606781006,1.0319478511810303,-0.4587501287460327,-0.2976199686527252,1.1539307832717896,1.539617896080017,0.3428625166416168,0.15413154661655426,0.6692305207252502,-1.5606160163879395,-1.7283521890640259,1.088903546333313,0.42481616139411926,-0.6640214920043945,-0.6375876069068909,0.07677198201417923,-0.02338588610291481,0.24655398726463318,-0.22443948686122894,0.48773711919784546,-0.00894569419324398,-0.5292352437973022,0.26936429738998413,0.7264371514320374,0.129232257604599,-0.3808811604976654
7,2,5,0,2,0,-0.03126963973045349,-0.04821044206619263,-0.480224072933197,0.913252592086792,-0.1440134346485138,-0.5891166925430298,0.04636324942111969,0.38126325607299805,-0.5074610710144043,0.3690590262413025,-1.5324198007583618,1.4103217124938965,-0.35496658086776733,-0.2218039184808731,1.1156256198883057,1.2598764896392822,0.1860143393278122,0.5568146705627441,0.43886351585388184,-1.844325304031372,-1.7572295665740967,0.999453067779541,0.2724599242210388,-0.390282541513443,-0.7007641196250916,0.09303686767816544,-0.037251152098178864,0.28796595335006714,-0.24797062575817108,0.5500346422195435,-0.0012718313373625278,-0.5927494764328003,0.2890554964542389,0.8014271259307861,0.14404499530792236,-0.43867188692092896
8,1,5,0,2,0,-0.1582849770784378,0.497214674949646,0.08773361891508102,0.7720786929130554,0.35284650325775146,0.5204672813415527,0.37287968397140503,0.2533009946346283,0.21524496376514435,1.0323243141174316,-1.297919511795044,0.5413971543312073,-0.21467716991901398,-0.11095648258924484,0.669389009475708,1.576306939125061,0.33762702345848083,-1.1663262844085693,0.722448468208313,-1.4472978115081787,-1.9641700983047485,1.2138279676437378,0.436705082654953,-0.5439230799674988,-0.7549188137054443,0.11421013623476028,-0.0390361063182354,0.35181939601898193,-0.29624831676483154,0.6041282415390015,0.001889440813101828,-0.6344155073165894,0.2836270332336426,0.8689045310020447,0.14478686451911926,-0.48211678862571716
9,0,5,0,2,0,-0.00441405177116394,0.5426117777824402,-0.5927014350891113,0.033107608556747437,0.42603135108947754,-0.48743003606796265,0.8067499995231628,-0.27326375246047974,-0.2906842827796936,-0.178783118724823,-1.7464913129806519,0.3903143107891083,-0.8597750067710876,-0.24582736194133759,0.36264872550964355,1.844313621520996,1.100464940071106,0.3988548219203949,1.2241125106811523,-0.9364528656005859,-1.23687744140625,1.2143757343292236,0.2014930546283722,-1.2416865825653076,-0.8123287558555603,0.0919397696852684,-0.05406629294157028,0.38067740201950073,-0.3126583397388458,0.6527718901634216,0.007496166508644819,-0.6747861504554749,0.3186802566051483,0.9406148195266724,0.16224858164787292,-0.5213873982429504
10,0,5,0,2,0,-0.03207331895828247,0.11544743180274963,0.01753101497888565,0.47024181485176086,0.20155270397663116,0.08400555700063705,-0.19529053568840027,-0.07406747341156006,-0.08243126422166824,0.7253967523574829,-1.4508811235427856,1.1529349088668823,-0.21948273479938507,0.004827721510082483,0.7150479555130005,1.4101893901824951,0.2796042263507843,-0.460374653339386,0.7249522805213928,-1.7160568237304688,-1.962754726409912,1.1247103214263916,0.4086349904537201,-0.6543174982070923,-0.8603016138076782,0.10930703580379486,-0.057160038501024246,0.419530987739563,-0.3411133587360382,0.6986106038093567,0.00821942463517189,-0.7176628708839417,0.32486218214035034,0.9959089756011963,0.16770049929618835,-0.5573667883872986
11,0,5,0,2,0,-0.38575926423072815,-0.15984977781772614,-0.3020261824131012,0.7732152342796326,0.3498575687408447,0.33113545179367065,0.29635298252105713,-0.21809238195419312,0.09240353107452393,0.7287817597389221,-1.405572772026062,1.286651849746704,-0.3920930027961731,0.17443276941776276,0.40205851197242737,1.4082322120666504,0.20737627148628235,-0.24684588611125946,0.8365154266357422,-1.778059482574463,-2.0462679862976074,1.0129579305648804,0.22782965004444122,-0.5084013342857361,-0.9041522741317749,0.12550939619541168,-0.057244572788476944,0.4560779929161072,-0.3665338158607483,0.7355684638023376,0.00855634082108736,-0.7590323090553284,0.336822509765625,1.0429178476333618,0.17070288956165314,-0.5894433259963989
