t,x,y,zone_id,action,perturbed,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,g_9,g_10,g_11
1,7,5,1,1,0,0.9076656103134155,-0.7088128328323364,0.30260273814201355,-0.1124243438243866,1.7069344520568848,0.42647847533226013,-0.6844621896743774,-0.3117661476135254,-1.010010004043579,0.08120943605899811,-0.797598659992218,0.5341610908508301,-0.048044219613075256,0.8070347905158997,0.5802679657936096,0.8251731991767883,0.841262698173523,-0.20758135616779327,2.289687395095825,-1.7446783781051636,-0.8574798107147217,0.6782136559486389,-0.6709862351417542,-1.300632119178772,0.0021042160224169493,-0.018987692892551422,-0.29219886660575867,0.15459486842155457,0.1494160294532776,0.021349890157580376,-0.07439365237951279,-0.036446258425712585,-0.056925445795059204,-0.032011181116104126,0.1825503259897232,0.023350389674305916
2,7,6,1,1,0,2.0068397521972656,-1.2700109481811523,0.7152919769287109,-0.6404284238815308,2.305266857147217,0.4873519539833069,-1.4059038162231445,-0.7822885513305664,-0.9481551647186279,0.3052104115486145,-1.0207245349884033,0.47895073890686035,0.04007573425769806,0.8082663416862488,0.4159090220928192,0.9410726428031921,0.7804908752441406,-0.24389204382896423,2.236429452896118,-1.672502040863037,-0.9634621739387512,0.7381801605224609,-0.5741183161735535,-1.3217307329177856,0.006491214036941528,-0.049042508006095886,-0.55568528175354,0.29537439346313477,0.27174484729766846,0.054212406277656555,-0.11963264644145966,-0.06906549632549286,-0.12722811102867126,-0.05531032383441925,0.3416898250579834,0.045101720839738846
3,7,7,1,1,0,0.39777475595474243,-1.0141838788986206,0.39019685983657837,-0.610726535320282,1.5932095050811768,0.7134970426559448,-0.8150066137313843,-0.7169933915138245,-0.9166548252105713,0.3716995418071747,-0.9978506565093994,0.49824023246765137,0.001544122933410108,0.7925348877906799,0.3554783761501312,0.9369299411773682,0.8428540825843811,-0.27689170837402344,2.2038204669952393,-1.706416130065918,-0.9571519494056702,0.7583614587783813,-0.582359790802002,-1.324137568473816,0.009905986487865448,-0.07417751848697662,-0.7939217686653137,0.4229913651943207,0.3827712833881378,0.09424982964992523,-0.1380920261144638,-0.10422022640705109,-0.20344272255897522,-0.07792658358812332,0.4644116759300232,0.06689031422138214
4,7,8,1,1,0,2.216820240020752,-0.903177797794342,0.16308164596557617,-0.310036301612854,1.150846242904663,-0.36338651180267334,-0.7014558911323547,-0.12821286916732788,-0.7511769533157349,0.5647915005683899,-1.1075822114944458,0.5719617605209351,-0.13357923924922943,0.9915764331817627,0.1486828774213791,0.9578955173492432,0.8399028778076172,-0.25635096430778503,2.005265712738037,-1.7985014915466309,-1.063462257385254,0.8011982440948486,-0.5323295593261719,-1.2382920980453491,0.02165958099067211,-0.09970447421073914,-1.0067492723464966,0.5526010990142822,0.49287617206573486,0.1511714905500412,-0.12574873864650726,-0.13944391906261444,-0.2790157198905945,-0.09555627405643463,0.5085383057594299,0.06988800317049026
5,7,8,1,1,0,1.1846413612365723,-1.6655147075653076,0.447305828332901,0.19233617186546326,1.154979944229126,0.10770547389984131,-0.7717811465263367,-0.36703383922576904,-0.6670932173728943,0.7563145756721497,-1.0357403755187988,0.6903159022331238,-0.14153632521629333,0.8093791604042053,-0.07769935578107834,1.0647342205047607,0.8720128536224365,-0.40355515480041504,1.962539553642273,-1.8457847833633423,-1.1333696842193604,0.7631512880325317,-0.44458532333374023,-1.1690833568572998,0.040312785655260086,-0.1272141933441162,-1.181578278541565,0.6809360980987549,0.5500938892364502,0.21886193752288818,-0.0572589747607708,-0.18339353799819946,-0.36588141322135925,-0.09730924665927887,0.48645806312561035,0.07546674460172653
6,7,8,1,1,0,1.334669589996338,-0.9592649936676025,0.23091477155685425,-1.0376100540161133,1.720944881439209,0.9661228656768799,-0.8710216879844666,-0.4664924740791321,-0.9134857058525085,0.3359389901161194,-0.9516797661781311,0.4214816093444824,-0.06294059753417969,0.8110942244529724,0.4898850917816162,0.8231242895126343,0.8393740653991699,-0.15136367082595825,2.1843276023864746,-1.8180891275405884,-0.9095777273178101,0.8499212265014648,-0.7159616351127625,-1.2320489883422852,0.046414583921432495,-0.14349247515201569,-1.3479546308517456,0.7795443534851074,0.6485556364059448,0.25481024384498596,-0.060427188873291016,-0.21579235792160034,-0.4364365339279175,-0.12085403501987457,0.5349088907241821,0.10468742251396179
7,7,8,1,1,0,1.1103315353393555,-0.6223770976066589,0.39451539516448975,-1.0355948209762573,1.6025763750076294,0.20777395367622375,-1.090886116027832,-0.960967481136322,-0.8511999845504761,0.48450425267219543,-0.9930006861686707,0.5278682112693787,-0.12144534289836884,0.8105264902114868,0.31109368801116943,0.8941920399665833,0.8651971817016602,-0.20575453341007233,2.087718963623047,-1.8969225883483887,-0.9904665350914001,0.8590171933174133,-0.6176528334617615,-1.1636745929718018,0.058305300772190094,-0.16144615411758423,-1.486608862876892,0.8776713609695435,0.7321151494979858,0.2999967336654663,-0.03013378009200096,-0.25058111548423767,-0.5130841732025146,-0.13265548646450043,0.518271803855896,0.1270340085029602
8,7,8,1,1,0,2.1719655990600586,-1.20379638671875,-0.38113856315612793,-0.5797135829925537,1.7961273193359375,-0.19786572456359863,-0.7355815172195435,0.004666924476623535,-0.7795189619064331,0.5263823866844177,-1.0394026041030884,0.47277724742889404,-0.17597328126430511,0.9569578766822815,0.26089832186698914,0.8735594153404236,0.8837646842002869,-0.1903248429298401,1.9788023233413696,-1.9207344055175781,-0.9963328838348389,0.9388301372528076,-0.6393800377845764,-1.150304913520813,0.07619017362594604,-0.1742737591266632,-1.6020876169204712,0.9748247265815735,0.8210503458976746,0.3424302935600281,-0.009958729147911072,-0.27946028113365173,-0.5793201327323914,-0.1419995278120041,0.4579065442085266,0.14337725937366486
9,7,8,1,1,0,1.5749552249908447,-0.14285528659820557,0.7182270288467407,0.13651588559150696,1.7533118724822998,0.4492161273956299,-0.48597386479377747,-0.13462316989898682,-0.9027625322341919,0.274930864572525,-0.976913571357727,0.4836341142654419,-0.17901916801929474,0.9693328142166138,0.6299693584442139,0.6485110521316528,0.859166145324707,0.09820663928985596,1.993507981300354,-1.8755329847335815,-0.8170098066329956,0.9445565342903137,-0.9877089262008667,-1.1628687381744385,0.0908774584531784,-0.17902396619319916,-1.7094371318817139,1.066392421722412,0.9158670902252197,0.34056103229522705,-0.08436110615730286,-0.30098581314086914,-0.623663604259491,-0.15112626552581787,0.5042575001716614,0.16764269769191742
10,7,8,1,1,0,1.8805131912231445,-1.4210375547409058,0.2181185483932495,-0.07325410842895508,0.7839661836624146,1.1160839796066284,-1.4503147602081299,-0.5301676988601685,-0.6911004185676575,0.69388347864151,-0.9323175549507141,0.6267181038856506,-0.20385947823524475,0.7729573249816895,-0.08403651416301727,0.9685612320899963,1.0485997200012207,-0.45402392745018005,1.9116778373718262,-1.9174611568450928,-1.0252054929733276,0.9591655135154724,-0.5361232757568359,-1.1374353170394897,0.11514225602149963,-0.19039185345172882,-1.767525553703308,1.1543755531311035,0.9394553899765015,0.39392805099487305,-0.017881393432617188,-0.32894906401634216,-0.6945687532424927,-0.1404493749141693,0.36893701553344727,0.17790648341178894
