t,x,y,zone_id,action,perturbed,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,g_9,g_10,g_11
1,7,4,1,4,0,0.16149374842643738,-0.1358010619878769,0.052332282066345215,-0.007228225469589233,0.35158228874206543,0.09073202311992645,-0.12528331577777863,-0.05243906378746033,0.16383713483810425,1.1841009855270386,-2.042238235473633,1.2014925479888916,-0.12823942303657532,0.3819190561771393,-0.7176046967506409,1.5038952827453613,0.40170004963874817,-1.1981275081634521,1.1418346166610718,-0.45893481373786926,-1.4567354917526245,0.47393742203712463,0.2474842220544815,-0.6983214020729065,-0.11740298569202423,0.012744675390422344,-0.005498664919286966,0.017048431560397148,-0.06570309400558472,0.11145317554473877,-0.047684650868177414,-0.0396282933652401,0.015093843452632427,0.16370390355587006,-0.013159103691577911,-0.034352295100688934
2,7,4,1,4,0,0.1511985957622528,-0.10337759554386139,0.03755580633878708,0.11704866588115692,0.34300532937049866,-0.05876441299915314,-0.25138866901397705,-0.3296794593334198,0.31137409806251526,1.4227986335754395,-1.882432460784912,1.7113145589828491,0.17121487855911255,0.2851191759109497,-0.5663629174232483,1.3005962371826172,0.004218041896820068,-0.952519416809082,0.7832472324371338,-0.9310106039047241,-1.6301995515823364,0.03578430786728859,0.3054053783416748,-0.3685475289821625,-0.21899157762527466,0.03150708228349686,-0.0127639751881361,0.04789314419031143,-0.11908192187547684,0.21650829911231995,-0.09471844136714935,-0.08242972940206528,0.02200177311897278,0.3019528388977051,-0.02973589114844799,-0.0695306658744812
3,7,4,1,4,0,0.24264779686927795,-0.21390092372894287,0.11581934988498688,0.015424855053424835,0.32601481676101685,0.011814411729574203,0.04376286268234253,-0.12079362571239471,0.15915286540985107,1.184016466140747,-2.0387282371520996,1.4827330112457275,-0.008964624255895615,0.2732299864292145,-0.5747268795967102,1.3916038274765015,0.31971463561058044,-0.9141504168510437,1.0424665212631226,-0.7971436977386475,-1.6042464971542358,0.42649075388908386,0.27168112993240356,-0.613128662109375,-0.3106082081794739,0.045790545642375946,-0.019960131496191025,0.06717880070209503,-0.1655190885066986,0.30777713656425476,-0.1330423653125763,-0.12004673480987549,0.04217646270990372,0.42780542373657227,-0.041081249713897705,-0.1110999584197998
4,7,4,1,4,0,0.2885708212852478,-0.2536536455154419,-0.07701099663972855,-0.029714252799749374,0.3960644602775574,0.03259747475385666,-0.39269688725471497,-0.10677545517683029,0.3233373761177063,1.299971580505371,-1.8962411880493164,1.7061479091644287,0.23262177407741547,0.2929196059703827,-0.6668339371681213,1.2980315685272217,0.14863742887973785,-0.8925586342811584,0.718438982963562,-1.0554338693618774,-1.6328668594360352,0.1769716888666153,0.3432958722114563,-0.39643916487693787,-0.3917432725429535,0.06480872631072998,-0.027765855193138123,0.0938299298286438,-0.20706385374069214,0.3921225666999817,-0.17428037524223328,-0.15418316423892975,0.055382609367370605,0.5363070368766785,-0.05795592814683914,-0.1431424915790558
5,7,4,1,4,0,0.1746789515018463,-0.21812018752098083,0.1294894814491272,-0.047757524996995926,0.3071594834327698,0.03074485808610916,-0.24219223856925964,-0.2570230960845947,0.3134446442127228,1.4019496440887451,-1.8855911493301392,1.8893226385116577,0.2943266034126282,0.0830337405204773,-0.4969151020050049,1.0994263887405396,-0.01072793360799551,-0.9534072875976562,0.7120770215988159,-0.93478924036026,-1.6401983499526978,-0.07111658155918121,0.4519038796424866,-0.2527388632297516,-0.46301695704460144,0.07803638279438019,-0.03426443785429001,0.13037355244159698,-0.24765266478061676,0.46888846158981323,-0.20095036923885345,-0.18329598009586334,0.054640088230371475,0.6329039335250854,-0.07495635002851486,-0.17822366952896118
6,7,4,1,4,0,0.4237833321094513,-0.15420284867286682,0.10416286438703537,-0.13304181396961212,0.3520217537879944,0.045587215572595596,-0.3378383219242096,-0.07712243497371674,0.473834753036499,1.2177891731262207,-1.9177085161209106,1.5488953590393066,0.3505013883113861,0.11812752485275269,-0.9312953352928162,1.2713043689727783,0.12385658174753189,-1.2629420757293701,0.7950636148452759,-0.6271244287490845,-1.5991007089614868,0.30062049627304077,0.452262282371521,-0.3140842914581299,-0.5291811227798462,0.0914563238620758,-0.03423876687884331,0.1546872854232788,-0.29073700308799744,0.5362247228622437,-0.23251289129257202,-0.20444031059741974,0.05826997756958008,0.7218552827835083,-0.0915440246462822,-0.20137269794940948
7,7,4,1,4,0,0.2181302011013031,-0.27833807468414307,0.3091517388820648,-0.1774497926235199,0.0887286514043808,0.023011285811662674,-0.11005373299121857,-0.23091430962085724,-0.04344795644283295,1.3241358995437622,-1.9958463907241821,1.9280571937561035,0.07981813699007034,-0.4126961827278137,0.11400929093360901,1.0105818510055542,-0.07897067815065384,-0.6686232089996338,0.8170685172080994,-0.8554010391235352,-1.6566535234451294,-0.20561803877353668,0.8090408444404602,-0.16545462608337402,-0.583503782749176,0.08919288963079453,-0.040301527827978134,0.19331561028957367,-0.3196942210197449,0.5974277257919312,-0.2354077845811844,-0.22820065915584564,0.055976539850234985,0.7985069751739502,-0.1037154346704483,-0.24826690554618835
8,7,4,1,4,0,0.390369713306427,-0.0989830270409584,0.2645705044269562,-0.02054668217897415,0.43912357091903687,0.12612172961235046,-0.15046286582946777,0.005657784640789032,0.38651418685913086,0.8221391439437866,-1.9076054096221924,1.0498102903366089,0.19843615591526031,0.12719307839870453,-1.2556215524673462,1.3087018728256226,0.5833561420440674,-1.549647569656372,1.1361944675445557,-0.075331911444664,-1.295888066291809,0.8649709820747375,0.32037755846977234,-0.7135988473892212,-0.6372683644294739,0.09916719049215317,-0.03857787698507309,0.20629020035266876,-0.3583628833293915,0.6497896909713745,-0.26362261176109314,-0.23560261726379395,0.0644727498292923,0.8730933666229248,-0.11663027852773666,-0.27018454670906067
9,7,4,1,4,0,0.40470564365386963,-0.3138572573661804,0.031211234629154205,0.0025643333792686462,0.12084022164344788,0.2631334066390991,-0.31674647331237793,-0.10703945904970169,0.21511226892471313,1.2144746780395508,-1.9681957960128784,1.835967779159546,0.31226325035095215,0.005996993277221918,-0.4577672481536865,1.085633635520935,0.2065974622964859,-0.7355749011039734,0.8049554824829102,-1.0892250537872314,-1.7112579345703125,0.2693490982055664,0.4054948091506958,-0.39382436871528625,-0.681131899356842,0.11091972887516022,-0.046748850494623184,0.23215889930725098,-0.3800771236419678,0.6973692774772644,-0.2818906307220459,-0.2563357651233673,0.07547707855701447,0.9337426424026489,-0.12899231910705566,-0.3037419021129608
10,7,4,1,4,0,0.3468126654624939,-0.15748754143714905,0.13772991299629211,-0.007531441748142242,0.31579306721687317,0.06423865258693695,-0.30017971992492676,-0.1725233495235443,0.48103612661361694,1.200879454612732,-1.8809484243392944,1.7014869451522827,0.4560356140136719,0.00952999759465456,-0.8628752827644348,1.1401915550231934,0.09723864495754242,-1.1879119873046875,0.7172021865844727,-0.7390184998512268,-1.65150785446167,0.31215807795524597,0.4933510720729828,-0.2868475914001465,-0.7214248180389404,0.1232542097568512,-0.04662705212831497,0.25619080662727356,-0.40799424052238464,0.7404390573501587,-0.3045679032802582,-0.2699912488460541,0.0777934119105339,0.9886786341667175,-0.14434556663036346,-0.32371068000793457
