t,x,y,zone_id,action,perturbed,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,g_9,g_10,g_11
1,7,4,1,4,0,0.16149374842643738,-0.1358010619878769,0.052332282066345215,-0.007228225469589233,0.35158228874206543,0.09073202311992645,-0.12528331577777863,-0.05243906378746033,-0.5083500742912292,0.2651732563972473,-2.1225218772888184,1.0941848754882812,-0.14477220177650452,-0.03724847733974457,0.16803190112113953,1.557012915611267,0.3898409903049469,-0.06923358887434006,2.162722110748291,-1.2278825044631958,-0.9386526942253113,-0.29776155948638916,0.10877738147974014,-0.39932021498680115,-0.05547451600432396,0.1256289780139923,-0.03754701837897301,-0.08349256217479706,-0.031012510880827904,-0.031931035220623016,-0.012037056498229504,-0.05236723646521568,0.008518630638718605,0.08085928857326508,0.12149610370397568,-0.02710796892642975
2,7,4,1,4,0,0.1511985957622528,-0.10337759554386139,0.03755580633878708,0.11704866588115692,0.34300532937049866,-0.05876441299915314,-0.25138866901397705,-0.3296794593334198,-0.41623297333717346,0.09425283968448639,-2.2134222984313965,1.0302814245224,-0.23215189576148987,-0.012731319293379784,0.06545776128768921,1.612923502922058,0.37629926204681396,0.15593481063842773,2.1062445640563965,-1.143171787261963,-0.9106941223144531,-0.49531126022338867,0.30885034799575806,-0.3265288174152374,-0.10424746572971344,0.23617686331272125,-0.0730181336402893,-0.15764865279197693,-0.048440322279930115,-0.06600811332464218,-0.02258189022541046,-0.10244172811508179,0.01756056398153305,0.14928461611270905,0.23399901390075684,-0.050692178308963776
3,7,3,1,0,0,0.24264779686927795,-0.21390092372894287,0.11581934988498688,0.015424855053424835,0.32601481676101685,0.011814411729574203,0.04376286268234253,-0.12079362571239471,-0.17475290596485138,0.3864067792892456,-2.1369540691375732,1.0450960397720337,-0.17874152958393097,-0.028489941731095314,-0.30534398555755615,1.5431692600250244,0.3251926004886627,0.22877375781536102,2.2414379119873047,-0.9344010949134827,-0.8842259645462036,-0.7848656177520752,0.08545822650194168,-0.42775920033454895,-0.14343111217021942,0.3322495222091675,-0.11107116937637329,-0.22074168920516968,-0.054990943521261215,-0.08709359169006348,-0.04495593160390854,-0.15465784072875977,0.02560088224709034,0.21364668011665344,0.3371565341949463,-0.07194504886865616
4,7,2,1,0,0,0.2885708212852478,-0.2536536455154419,-0.07701099663972855,-0.029714252799749374,0.3960644602775574,0.03259747475385666,-0.39269688725471497,-0.10677545517683029,-0.38534560799598694,-0.014915191568434238,-2.1741292476654053,0.9119251370429993,-0.2951054275035858,0.09751243144273758,0.12195247411727905,1.5913593769073486,0.48904523253440857,0.4016340672969818,2.0156373977661133,-1.3082072734832764,-1.010128378868103,-0.4687616527080536,0.34745198488235474,-0.3199256956577301,-0.1807168871164322,0.42562928795814514,-0.14403870701789856,-0.28491318225860596,-0.06793859601020813,-0.1144036278128624,-0.049664631485939026,-0.19349715113639832,0.03425055742263794,0.2724049687385559,0.4217662215232849,-0.09431291371583939
5,7,3,1,0,0,0.1746789515018463,-0.21812018752098083,0.1294894814491272,-0.047757524996995926,0.3071594834327698,0.03074485808610916,-0.24219223856925964,-0.2570230960845947,-0.3077096939086914,0.1410701870918274,-2.112816572189331,0.9043280482292175,-0.24741710722446442,0.09134824573993683,0.12334778904914856,1.563315749168396,0.43622350692749023,0.46274054050445557,2.005521297454834,-1.3779118061065674,-1.1232757568359375,-0.5351223349571228,0.2971392571926117,-0.3207811713218689,-0.2140488624572754,0.5112588405609131,-0.174240380525589,-0.34333550930023193,-0.08136095851659775,-0.13513115048408508,-0.05364691838622093,-0.22827847301959991,0.042013268917798996,0.32807570695877075,0.49492907524108887,-0.11814597249031067
6,7,2,1,0,0,0.27309632301330566,-0.15471932291984558,0.043743234127759933,-0.032094985246658325,0.282642126083374,-0.09095901995897293,-0.1584414541721344,-0.12950438261032104,-0.17472493648529053,0.2668420076370239,-2.094175338745117,0.915494441986084,-0.23868943750858307,0.025983622297644615,-0.07625587284564972,1.5774627923965454,0.39694055914878845,0.461668461561203,2.1117076873779297,-1.2124756574630737,-1.0697543621063232,-0.6858310103416443,0.19515371322631836,-0.39934688806533813,-0.24156443774700165,0.5881304740905762,-0.2039233148097992,-0.39390620589256287,-0.0916317030787468,-0.14809060096740723,-0.06314847618341446,-0.262034147977829,0.04890793561935425,0.37910521030426025,0.5614562630653381,-0.14184045791625977
7,7,2,1,0,0,0.3470664620399475,-0.20916897058486938,-0.019455887377262115,0.13236670196056366,0.2066669464111328,-0.14832627773284912,-0.2238680124282837,-0.028734713792800903,-0.049604836851358414,0.25366461277008057,-2.111480951309204,0.9474661946296692,-0.26903241872787476,0.002380887744948268,-0.2675902247428894,1.580188512802124,0.3164677917957306,0.5469406247138977,2.103652000427246,-1.0342738628387451,-1.0065441131591797,-0.9127153754234314,0.25060006976127625,-0.35011884570121765,-0.2659909427165985,0.6566815376281738,-0.2304476797580719,-0.43766269087791443,-0.0948496088385582,-0.15998700261116028,-0.07572123408317566,-0.2953239977359772,0.05537092313170433,0.424899160861969,0.6219132542610168,-0.16280384361743927
8,7,1,1,0,0,0.30695635080337524,-0.03692947328090668,0.15989916026592255,0.08778546750545502,0.36357006430625916,0.20206865668296814,-0.1207575723528862,-0.06914384663105011,0.06599096208810806,0.5236204862594604,-1.9386284351348877,0.9763153791427612,-0.2841923236846924,0.13327725231647491,-0.3328438103199005,1.4725266695022583,0.3588937819004059,0.5077043771743774,2.1404502391815186,-1.145329475402832,-1.1487959623336792,-0.9208887815475464,0.010467283427715302,-0.418567419052124,-0.29087936878204346,0.720037579536438,-0.2545197010040283,-0.4761253595352173,-0.10111124813556671,-0.16440436244010925,-0.09305116534233093,-0.3215874135494232,0.06202181056141853,0.4713582992553711,0.6715394258499146,-0.18437230587005615
9,6,1,1,0,0,0.3555471897125244,-0.02259354293346405,-0.054975055158138275,-0.14557380974292755,0.38668107986450195,-0.11621470004320145,0.01625409722328186,-0.23542743921279907,0.001512726885266602,0.28818246722221375,-2.040886402130127,0.8524975180625916,-0.2868165969848633,0.04538242518901825,-0.26623210310935974,1.5664411783218384,0.38350769877433777,0.6444956660270691,2.112600088119507,-1.1134672164916992,-1.061440348625183,-0.9021866321563721,0.18431530892848969,-0.40790578722953796,-0.30822309851646423,0.7770920395851135,-0.27863001823425293,-0.5132092237472534,-0.103965625166893,-0.17101310193538666,-0.10375119745731354,-0.34765535593032837,0.06743711233139038,0.5109567642211914,0.7173486351966858,-0.20409390330314636
10,6,0,1,0,0,0.3468126654624939,-0.15748754143714905,0.13772991299629211,-0.007531441748142242,0.31579306721687317,0.06423865258693695,-0.30017971992492676,-0.1725233495235443,-0.05197691172361374,0.26603496074676514,-2.021542549133301,0.8277931809425354,-0.27093884348869324,0.12399814277887344,-0.0797828808426857,1.5230772495269775,0.42224887013435364,0.7043453454971313,2.008002996444702,-1.346793293952942,-1.204915165901184,-0.7716426849365234,0.21397459506988525,-0.3418828547000885,-0.3251350522041321,0.8300161361694336,-0.2998596131801605,-0.5484349727630615,-0.11050646007061005,-0.17868079245090485,-0.10787121206521988,-0.36839377880096436,0.07283660769462585,0.5481746792793274,0.7552992701530457,-0.2233567237854004
