t,x,y,zone_id,action,perturbed,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,g_9,g_10,g_11
1,7,5,1,1,0,-0.05559945106506348,-0.0712180957198143,-0.03637392073869705,0.15805208683013916,0.46203240752220154,0.14962559938430786,0.00048217177391052246,0.05496443808078766,-0.688396155834198,0.2460743635892868,-1.4009594917297363,0.17641854286193848,-0.5695475935935974,0.3347126543521881,0.4647814631462097,1.465779423713684,0.8406412601470947,-1.2795510292053223,2.095944404602051,-0.7771384119987488,-1.3780791759490967,0.8755437135696411,0.3293890953063965,-0.7356127500534058,-0.1517588496208191,0.13316859304904938,0.013736195862293243,-0.016687044873833656,-0.17134591937065125,-0.0044489349238574505,0.05227586254477501,0.00727356830611825,0.0012418817495927215,0.08790909498929977,0.1356113702058792,-0.082723468542099
2,6,5,1,2,0,-0.08820074796676636,0.031456246972084045,-0.08316610008478165,0.5515956878662109,0.434872031211853,-0.323779821395874,-0.3988514542579651,-0.8229634761810303,-0.5730337500572205,0.3415908217430115,-1.524834394454956,0.8694404363632202,-0.22915272414684296,0.014574714004993439,0.7100881934165955,1.67449152469635,0.1854792684316635,-0.49400994181632996,1.652030348777771,-1.5240579843521118,-1.7700132131576538,0.5280909538269043,0.4879935681819916,-0.34867796301841736,-0.2791966497898102,0.2694593667984009,0.018875358626246452,-0.059432946145534515,-0.3050837516784668,0.009462706744670868,0.102566659450531,-0.0035248231142759323,0.0036102484446018934,0.150694340467453,0.27178019285202026,-0.1604866087436676
3,6,6,1,1,0,0.201388418674469,-0.31853431463241577,0.164668470621109,0.22978684306144714,0.38106876611709595,-0.10028018802404404,0.5357950925827026,-0.16149167716503143,-0.38394802808761597,0.6955551505088806,-1.386962652206421,0.4149811267852783,-0.38117825984954834,0.257546603679657,0.25042128562927246,1.5496389865875244,0.5240986347198486,-0.9655925631523132,1.9939159154891968,-0.8330145478248596,-1.7292933464050293,0.7243119478225708,0.3149312138557434,-1.0454118251800537,-0.3971748352050781,0.38602811098098755,0.03100084513425827,-0.06569291651248932,-0.43884724378585815,0.017393257468938828,0.12217700481414795,0.004940860904753208,0.0021557246800512075,0.21835115551948547,0.38334378600120544,-0.24032823741436005
4,6,7,1,1,0,0.34681129455566406,-0.4444180130958557,-0.44596096873283386,0.08684633672237396,0.6028926372528076,-0.034467145800590515,-0.846327543258667,-0.11710081994533539,-0.07259546220302582,0.7143341898918152,-1.3825498819351196,0.23545244336128235,-0.3953969478607178,-0.14340908825397491,0.06094398722052574,1.6095513105392456,0.2066168487071991,-1.14519464969635,2.2112417221069336,-0.5708836317062378,-1.8865244388580322,0.19042442739009857,0.6837788820266724,-0.3157896399497986,-0.5028491020202637,0.4875284433364868,0.04647946357727051,-0.08328031748533249,-0.5572262406349182,0.022493790835142136,0.16614216566085815,0.010577116161584854,-0.00271422415971756,0.2712668180465698,0.48326167464256287,-0.31273153424263
5,7,7,1,3,0,-0.013846248388290405,-0.3318953514099121,0.2079572081565857,0.02970930188894272,0.32136017084121704,-0.04033377021551132,-0.3697294294834137,-0.5928850769996643,-0.27504751086235046,0.49692603945732117,-1.5052851438522339,0.6915646195411682,-0.27346551418304443,0.042401522397994995,0.4056849479675293,1.4387098550796509,-0.04598041623830795,-0.41957876086235046,1.9056533575057983,-1.2643970251083374,-2.1355855464935303,0.09995422512292862,0.793496310710907,0.04494887962937355,-0.5928058624267578,0.5810019969940186,0.05988306552171707,-0.12451987713575363,-0.6552259922027588,0.016180573031306267,0.22264477610588074,0.0051726168021559715,0.0012061779852956533,0.31896162033081055,0.5758677124977112,-0.37025517225265503
6,8,7,1,3,0,0.7749843597412109,-0.1294904351234436,0.127756267786026,-0.24035762250423431,0.46342408657073975,0.006667029112577438,-0.6726087331771851,-0.023199565708637238,-0.18523886799812317,0.6793719530105591,-1.5530940294265747,0.8249472975730896,-0.3332957327365875,0.20868714153766632,0.2083023339509964,1.1645307540893555,-0.14539247751235962,-0.3289893567562103,1.977810025215149,-1.0548778772354126,-2.2248244285583496,-0.1394062489271164,0.8482470512390137,0.05322246253490448,-0.6737899780273438,0.6612362861633301,0.07527884095907211,-0.1504686325788498,-0.7451996207237244,-0.006890740245580673,0.27903780341148376,-0.001793907955288887,0.005074631422758102,0.36949923634529114,0.6549367308616638,-0.4220869243144989
7,9,7,1,3,0,0.12374936044216156,-0.5225853323936462,0.7768877148628235,-0.3809829354286194,-0.37033742666244507,-0.06482341140508652,0.048709213733673096,-0.5102072358131409,-0.3865233361721039,0.29584604501724243,-1.4838439226150513,0.8277003765106201,-0.2427578717470169,0.2976413667201996,0.6794225573539734,1.020479440689087,-0.2760198414325714,0.14033463597297668,1.8530480861663818,-1.440683126449585,-2.219511032104492,-0.0872546061873436,0.7886480689048767,0.233473002910614,-0.7395534515380859,0.7337941527366638,0.08717624098062515,-0.19955280423164368,-0.8185440301895142,-0.0323486290872097,0.3397539556026459,-0.007371365558356047,0.020294204354286194,0.4047397971153259,0.7291754484176636,-0.46493783593177795
8,10,7,2,3,0,0.6691744327545166,0.04537235200405121,0.6357138156890869,0.11587698757648468,0.7392465472221375,0.2616930305957794,-0.07925305515527725,0.23893781006336212,-0.28805357217788696,0.7609933018684387,-1.5503666400909424,0.8743208050727844,-0.3635115623474121,0.2923554480075836,0.3969050943851471,1.1258043050765991,-0.10357248038053513,0.0821305438876152,1.839332938194275,-1.1688934564590454,-2.2373266220092773,-0.14036351442337036,0.7917520403862,-0.3115065395832062,-0.8038814663887024,0.8004305362701416,0.09676375985145569,-0.21578818559646606,-0.8896610736846924,-0.0570901483297348,0.3699064254760742,-0.008453424088656902,0.02692645601928234,0.45191895961761475,0.7974050641059875,-0.5105584263801575
9,11,7,2,3,0,0.02358373999595642,-0.5572016835212708,-0.23243822157382965,0.18151253461837769,-0.526743471622467,0.818568766117096,-0.37457630038261414,-0.11348103731870651,-0.23991696536540985,0.4145132303237915,-1.306193232536316,0.335217148065567,-0.4420042335987091,0.08244593441486359,0.6501720547676086,1.1341471672058105,-0.17163553833961487,0.034773461520671844,2.1122798919677734,-1.1567449569702148,-2.3297202587127686,-0.05777909606695175,0.8738539814949036,0.0665915384888649,-0.8582521677017212,0.8549128174781799,0.10561301559209824,-0.2440188229084015,-0.9530458450317383,-0.06156289204955101,0.4195432662963867,-0.005890279076993465,0.028547458350658417,0.48137030005455017,0.8540276288986206,-0.5579948425292969
10,12,7,2,3,0,-0.15974396467208862,-0.06203090772032738,0.10487096011638641,0.14954259991645813,0.09060725569725037,0.18873535096645355,-0.3221150040626526,-0.3208467364311218,-0.3136446475982666,0.47187405824661255,-1.3831933736801147,0.7573529481887817,-0.22273766994476318,0.12915891408920288,0.6990897059440613,1.1032929420471191,-0.3468332588672638,0.3087351322174072,1.782668948173523,-1.4268149137496948,-2.29375958442688,-0.17702288925647736,0.8252803683280945,0.0865534320473671,-0.9042482972145081,0.9059035181999207,0.11232345551252365,-0.28077852725982666,-1.0062001943588257,-0.07009560614824295,0.4638228118419647,-0.00979260727763176,0.037571392953395844,0.5087334513664246,0.9079733490943909,-0.5954836010932922
